,Ticker,Timestamp,SDG_Mean_ADJ,SDG_STD_Mean,SDG_News_Volume_Mean
1589153,YUM,2014-08-03,-4.640028368634883,1.3378149133648518,36.3
1590164,YUM,2017-05-10,-4.501334460085639,3.5310838657197277,36.375
664155,GRMN,2016-12-13,-4.13200006679181,3.1010224186702944,37.375
664230,GRMN,2017-02-26,-4.909841320757245,1.9481296339805358,90.41176470588236
664233,GRMN,2017-03-01,-4.54756560126469,3.3429082227656917,129.125
664334,GRMN,2017-06-10,-5.145199495408964,2.6199399596094075,31.5
664603,GRMN,2018-03-06,-4.503570152129871,3.470279494647124,36.846153846153854
664663,GRMN,2018-05-05,-4.84032905437122,3.33435406201434,34.92857142857143
813934,JNPR,2017-06-28,-4.981763797523287,1.6531268957572312,62.0
1457667,URBN,2014-09-15,-4.854206340146822,1.860144332407564,77.11764705882355
985307,MOS,2013-08-08,-3.7132195258556977,1.9338316485143527,32.6875
363887,COP,2013-12-05,-4.266871015535092,2.765605901744336,40.2
365548,COP,2018-06-23,-4.416010232396848,2.0342094948883425,78.52941176470588
1434247,UAL,2014-02-18,-5.613563775915559,2.4607118093933846,61.8125
1435531,UAL,2017-08-25,-4.939810915571668,1.9946783523509144,189.7647058823529
1324047,SRE,2016-01-16,-5.799297218727156,0.6965676020186179,58.81818181818182
1469052,V,2017-08-19,-3.6673065800464513,3.054987647682811,34.588235294117645
1258785,S,2013-11-20,-4.855353598902624,1.3921028644604918,33.55555555555556
1503639,VZ,2013-06-22,-4.292874163087991,2.128319231582083,32.92857142857143
1503943,VZ,2014-04-22,-2.9474941033561235,2.785026080466017,31.588235294117645
1504371,VZ,2015-06-24,-3.748553159313498,2.570189491870176,89.64705882352942
1504828,VZ,2016-09-23,-2.939419564098529,1.8771954655317635,290.4705882352941
1505296,VZ,2018-01-04,-3.243235978239692,1.9933629633360201,134.64705882352942
1505297,VZ,2018-01-05,-3.5510940748490287,2.294906969583975,136.76470588235293
114463,AMZN,2015-12-14,-3.1701677109760245,2.236121436266443,216.5882352941176
114464,AMZN,2015-12-15,-2.3722215380498097,2.2853363633654364,180.64705882352942
114511,AMZN,2016-01-31,-2.7187426945538893,2.393526161040445,93.23529411764706
114513,AMZN,2016-02-02,-2.4000911489750973,2.5797058383750406,102.76470588235294
203516,BBY,2019-09-11,-3.410679881293906,2.3242664271660063,37.0
1049928,NKE,2014-01-01,5.5516997455613515,0.5869515938763373,44.16666666666666
694517,HES,2015-05-07,-5.542341070925954,1.8364594634393565,65.66666666666667
998193,MS,2013-07-30,-2.785658736726245,1.1747182555356708,254.0
998545,MS,2014-07-17,-3.1962960141753336,2.2415162395241293,61.764705882352935
998728,MS,2015-01-16,-2.704631720810585,2.463102325524141,53.470588235294116
998739,MS,2015-01-27,-3.697234909464714,3.6177212402741934,44.529411764705884
998817,MS,2015-04-15,-2.7970904414988578,2.576470640866553,263.88235294117646
999157,MS,2016-03-20,-2.9536209657192565,2.1726397160573896,124.47058823529413
1000090,MS,2018-10-09,-3.636946973006652,3.0471494335455285,324.2352941176472
1000607,MS,2020-03-09,-2.868661896383431,2.59534250276792,119.23529411764706
1000632,MS,2020-04-03,-2.7131726983078392,2.5638971658751766,112.70588235294115
1000642,MS,2020-04-13,-3.043665878098877,2.4495806116811507,168.58823529411762
1308550,SO,2015-12-24,-4.487725307890815,1.7930819124649642,60.6
1308552,SO,2015-12-26,-5.034137467181567,2.1109884794366165,34.0
1308946,SO,2017-01-23,-4.804966597273721,3.0435156594911383,54.29411764705882
1309204,SO,2017-10-08,-5.692656858949388,1.7347620630851512,153.47058823529414
1309437,SO,2018-05-29,-4.656397488811785,2.319184302958416,61.29411764705882
1310029,SO,2020-01-11,-5.72341788381464,1.18574162508644,51.6875
1310030,SO,2020-01-12,-6.814816382970758,1.3195991864869592,129.86666666666667
949230,MDT,2013-09-06,-6.570251280851477,1.3759147998558692,31.2
1004526,MSI,2016-10-17,-4.670460841394697,4.180219501543971,73.70588235294117
1005210,MSI,2018-09-01,-4.805131987066779,3.181991430898893,31.75
1005739,MSI,2020-02-12,-3.1897963628825754,2.016320734911468,70.8125
1005740,MSI,2020-02-13,-3.5111913727523016,2.283084808676354,53.75
1241925,ROK,2017-02-25,-3.8575278974438447,2.398610901119292,35.4
366388,COST,2013-09-18,-3.935465866322458,2.0387560504721574,46.470588235294116
366389,COST,2013-09-19,-5.038251386680148,1.8917399841610765,67.0625
366710,COST,2014-08-06,-3.3290715227366623,1.9862282413376289,65.93333333333334
368187,COST,2018-08-22,-3.845832393526029,2.159927858262209,95.23529411764706
368485,COST,2019-06-16,-4.4152492873393445,2.1192451040122524,74.47058823529412
368486,COST,2019-06-17,-4.083605110819319,2.572627603134259,96.41176470588236
368488,COST,2019-06-19,-3.4266518289268766,3.9898570323574334,46.411764705882355
368512,COST,2019-07-13,-4.521891657193208,0.984630098213526,244.73333333333332
250943,C,2015-05-21,-2.993876154347604,2.793586424178752,129.47058823529414
252583,C,2019-11-16,1.7329798330768884,1.5383016267128429,37.8125
252705,C,2020-03-17,-3.0563880950196425,2.249522266400956,42.70588235294117
1418558,TSRO,2013-07-18,-4.552677635152318,2.289085940546655,41.6875
1418944,TSRO,2014-08-08,-4.522184923026085,1.9807006521800208,75.375
1209314,RCL,2019-08-30,-4.4844350803369295,1.7592095999992499,225.125
1209420,RCL,2019-12-14,-4.420003877889268,1.3959810548281086,44.46666666666667
310644,CHK,2016-06-08,-4.993406952234956,2.1397014364493816,138.70588235294122
1416041,TSN,2013-09-18,-6.108974005455787,2.337683550928793,30.285714285714285
1416159,TSN,2014-01-14,-5.419833049176995,1.4488872443662362,49.36363636363637
1417164,TSN,2016-10-15,-5.754708636426302,1.7483012468987968,170.6875
942012,MCO,2015-02-07,-4.627232676155528,1.337392343967294,39.875
942452,MCO,2016-04-22,0.3802277757888604,2.823355870433392,280.58823529411757
942892,MCO,2017-07-06,-4.3049941767706565,2.589354875223376,118.76470588235294
942953,MCO,2017-09-05,-4.722563139392038,2.9823016588652402,106.47058823529413
943180,MCO,2018-04-20,-4.361025632170988,3.1173082100938294,176.7647058823529
943300,MCO,2018-08-18,-4.4196781148958095,3.636110222241464,36.8235294117647
943695,MCO,2019-09-17,-4.467444332593959,2.6341065454666484,108.82352941176471
943748,MCO,2019-11-09,-4.2405622371968565,3.3901421278635246,48.88235294117647
943879,MCO,2020-03-19,-4.281218578829593,2.5466492132924774,61.941176470588225
943886,MCO,2020-03-26,-4.331671055909801,2.6283327136504258,122.29411764705885
1138678,PEG,2016-11-30,-3.7455013080634014,2.6873716527371028,56.29411764705882
780965,IR,2019-01-07,-5.702597766699292,1.8277934736315045,160.83333333333334
781144,IR,2019-07-05,-5.871506443484126,3.1952399116852668,54.1
781156,IR,2019-07-17,-5.482386963563651,2.8260639308696165,30.41666666666667
559087,F,2018-10-15,-3.5422609710581945,1.7327634256261415,187.0
559144,F,2018-12-11,-3.1303553035186087,2.5401813356406366,56.25
559167,F,2019-01-03,-3.0855320648354976,1.6756872941998209,74.33333333333333
559315,F,2019-05-31,-3.1231661840529448,1.5701120985990369,40.52941176470589
559594,F,2020-03-05,-3.0364664890012962,1.9006752497912056,32.5625
559608,F,2020-03-19,-3.296475288760169,2.023774515021296,106.41176470588236
559609,F,2020-03-20,-3.5541609211196903,1.939307763903499,56.88235294117647
1507225,WAB,2016-03-25,-5.485500531410396,2.211851140860309,52.9375
538083,ETR,2017-10-08,-6.192765174968478,2.696663896857844,36.769230769230774
538910,ETR,2020-01-13,-6.750706597946232,1.0866211184237866,89.64285714285714
818150,JWN,2014-11-29,-6.435589059280553,2.683076231701621,51.0
818151,JWN,2014-11-30,-4.119991359764098,2.2800172075740224,45.384615384615394
818167,JWN,2014-12-16,-4.890533243311844,1.9055908375754933,34.285714285714285
431354,DIS,2015-01-22,-2.4300073804924005,2.494985290038537,194.29411764705884
431801,DIS,2016-04-13,-2.5356023473319222,2.741100347898236,565.8235294117648
431976,DIS,2016-10-05,-2.4660358376458817,3.0929009788068846,519.0588235294117
431977,DIS,2016-10-06,-2.117324135859655,2.671023700498672,494.1176470588235
431997,DIS,2016-10-26,-2.2037759517121334,3.3514745108179973,421.2352941176471
432317,DIS,2017-09-11,-2.1617943718057657,3.0942035898962272,244.7647058823529
432318,DIS,2017-09-12,-2.661331599571532,2.9349280908688526,375.47058823529403
432636,DIS,2018-07-27,-2.1898432317224144,2.378664786541188,331.11764705882354
433036,DIS,2019-08-31,-3.432386136343838,2.601796659483941,284.4117647058824
433038,DIS,2019-09-02,-2.383816965254073,3.0963327529294378,127.70588235294115
498586,EIX,2015-07-19,-5.237695072787532,1.5627264029881835,34.375
564820,FB,2013-04-20,-2.7216168420415947,2.817686616644516,55.58823529411765
564827,FB,2013-04-27,-2.5819860640008376,3.0642505154474105,71.52941176470588
564841,FB,2013-05-11,-2.6833528701948337,3.187261031753453,88.11764705882355
564861,FB,2013-05-31,-3.2137731699778582,3.1289136737852115,169.64705882352942
564862,FB,2013-06-01,-2.7006448681167075,3.0182249925396167,95.47058823529413
565178,FB,2014-04-13,-2.8223451202261134,3.2352067234757973,657.8235294117648
565276,FB,2014-07-20,-3.070599623073595,3.5391213777780286,498.05882352941177
565290,FB,2014-08-03,-3.6774717554864593,3.4379017255010966,546.0
565325,FB,2014-09-07,-2.7427105924795843,3.128282930762728,484.9411764705882
565430,FB,2014-12-21,-3.0729741507927515,3.1819943822106342,1045.9411764705883
565458,FB,2015-01-18,-2.8377306151882737,3.3008604884232464,731.6470588235294
565759,FB,2015-11-15,-2.6016890069006298,3.207294622530188,1500.0
565995,FB,2016-07-08,-2.882749520584316,3.318993405109207,4575.176470588235
565996,FB,2016-07-09,-3.0599544274426282,3.354656627925852,2445.4705882352937
565997,FB,2016-07-10,-3.104833714785149,3.4599956586064087,1926.1764705882354
566425,FB,2017-09-11,-2.8253771370869414,3.2113136810850573,3145.058823529412
566537,FB,2018-01-01,-2.6517159920809608,3.1848639942268786,1829.1176470588239
566755,FB,2018-08-07,-2.6043816203113006,3.2409131910610385,2908.8823529411766
567012,FB,2019-04-21,-2.684067640732684,3.6994743155586405,1353.4705882352941
1599799,ZION,2015-06-29,-2.766539238192081,1.4864444427255803,243.0
1599820,ZION,2015-07-20,-2.681801265092928,2.1590010673568134,79.29411764705883
1599834,ZION,2015-08-03,-2.9971279193430185,2.1049042322383174,135.52941176470586
7842,AAPL,2013-07-15,-4.227050059651707,2.3577455737425894,39.857142857142854
9690,AAPL,2018-08-06,-4.1432782430677015,2.3047045341314067,210.0
9817,AAPL,2018-12-11,-3.4429993183991754,1.9979791369949924,60.86666666666667
10038,AAPL,2019-07-20,-3.255382115546863,1.3654266443168068,37.46153846153846
10122,AAPL,2019-10-12,-3.7881221865760266,2.615604024318999,49.08333333333334
10234,AAPL,2020-02-01,-4.037384704213647,1.4443453536166933,60.352941176470594
10241,AAPL,2020-02-08,-5.176698363851587,1.4307235114498482,85.53333333333333
10242,AAPL,2020-02-09,-3.7203691310149294,1.603074478949957,31.5625
10251,AAPL,2020-02-18,-3.5631615568703814,1.7590381892346116,220.29411764705884
10271,AAPL,2020-03-09,-4.591191584578435,1.38164340647475,92.6875
412206,DAL,2019-02-14,-4.853132910874651,2.064739413276845,91.8125
1035007,NDAQ,2015-07-08,-2.0238166692336144,2.3323300709575543,848.6470588235294
1035192,NDAQ,2016-01-09,-2.090396047668482,2.112296296084607,213.0
1035268,NDAQ,2016-03-25,-2.438594285948822,2.9820969204037526,220.17647058823533
1036496,NDAQ,2019-08-05,-2.0661205594392995,2.6579260012112664,297.4117647058824
1036579,NDAQ,2019-10-27,1.2989675095334123,1.322147014076274,108.125
1036648,NDAQ,2020-01-04,-2.694812203854267,2.3363123987049863,98.17647058823529
1036697,NDAQ,2020-02-22,-2.1193514938656977,2.9204840159186345,77.70588235294117
1036699,NDAQ,2020-02-24,-2.0649431340291136,2.7480366494326662,276.41176470588243
1036700,NDAQ,2020-02-25,-2.0282106198060497,2.639452666130172,374.47058823529403
1036703,NDAQ,2020-02-28,-3.071632714181384,2.6564625911772923,435.8235294117647
1036704,NDAQ,2020-02-29,-2.861735522308724,2.595727754694101,101.41176470588236
1036710,NDAQ,2020-03-06,-2.3076894320978565,2.271287278578629,371.2352941176471
1036713,NDAQ,2020-03-09,-2.9819101382524345,2.8095940381049176,424.0
1036714,NDAQ,2020-03-10,-2.3978894484233777,2.4543210735405867,473.5294117647058
1036717,NDAQ,2020-03-13,-2.2807962979636485,2.277753179059399,236.35294117647058
1036720,NDAQ,2020-03-16,-2.2703968734757187,2.2514374930044503,321.1764705882353
1036722,NDAQ,2020-03-18,-2.1184444437521064,2.346694665366374,173.05882352941174
1036736,NDAQ,2020-04-01,-2.211175643359126,2.2072896240205093,280.4705882352941
1036738,NDAQ,2020-04-03,-2.042408872928444,2.0670243342702785,257.7647058823529
1036756,NDAQ,2020-04-21,-2.201996627462336,2.308363893027708,266.0588235294117
918162,MA,2013-05-09,-6.186952495737244,2.300550207123392,63.33333333333334
918310,MA,2013-10-04,-4.2196033298992806,3.3792402842181004,33.857142857142854
918478,MA,2014-03-21,-3.2842193964993167,1.47274371177277,170.47058823529414
918479,MA,2014-03-22,-3.5692737641129693,1.1242639229259208,85.29411764705883
918480,MA,2014-03-23,-2.949675699836368,0.9603770275017236,85.3529411764706
918481,MA,2014-03-24,-3.0968106857293614,1.9002843209044329,40.058823529411775
918485,MA,2014-03-28,-2.830103068930528,2.0738319600179858,32.42857142857143
919472,MA,2016-12-09,-2.841999632409013,3.5185746884603337,38.375
919724,MA,2017-08-18,-3.1589293445254905,2.7806870676813245,46.05882352941178
920646,MA,2020-02-26,-2.8722596471505226,2.317972611721629,92.23529411764706
591223,FL,2014-12-24,-7.1365386274545966,1.8577672949435229,51.25
794289,IVZ,2020-03-11,-4.172628946095883,1.4238851431416448,61.0
1049066,NI,2018-09-14,-4.257207885549416,1.7436361843542645,58.05882352941178
1049070,NI,2018-09-18,-4.336924334231909,1.9043542204971065,34.5
1049596,NI,2020-02-26,-5.0738794831957135,1.2886166563077135,36.384615384615394
416087,DE,2015-08-17,-4.692804087619777,2.1488934208433794,56.78571428571429
417347,DE,2019-01-28,-4.7978588227116585,1.427330900037083,34.4
336973,CMCSA,2017-11-29,-3.7772392912905866,2.3888420422783896,326.5882352941176
337186,CMCSA,2018-06-30,-3.3798542662723525,2.2328421069463595,48.58823529411765
435724,DISCA,2019-12-18,-3.1277229829317545,3.0110243772765264,37.23529411764706
337986,CME,2013-08-16,-4.384791701259962,1.8789361314269484,39.6
338322,CME,2014-07-18,-5.11422691310963,2.18922457743361,53.46666666666667
340166,CME,2019-08-05,-4.4005729140097785,2.1147044920490567,39.1875
340371,CME,2020-02-26,-4.410036729012816,1.4876274295919198,52.25
340383,CME,2020-03-09,-5.0674411412574925,1.6839896110225088,101.52941176470587
299239,CF,2013-06-15,-5.566403343294317,1.8671300194774283,89.46666666666668
224572,BLK,2013-10-17,-3.6749053155511455,1.8542035601902465,35.07692307692308
226760,BLK,2019-10-14,-3.9307309461749145,3.6613692549270462,34.294117647058826
1075704,NVDA,2013-12-18,-3.3887421618447364,2.6765155536849496,35.285714285714285
1077760,NVDA,2019-08-05,-3.5696036052194797,1.6428288085813514,44.92307692307693
409682,D,2019-04-10,-4.95454166137712,2.1846619186658662,84.4375
409683,D,2019-04-11,-5.673351930846119,1.6286185745750652,62.66666666666666
409831,D,2019-09-06,-4.576170167297403,1.4049640293994048,147.7058823529412
409832,D,2019-09-07,-4.093558836038502,1.5958570644701289,59.764705882352935
1181337,PRU,2013-09-03,7.048947892325647,0.27386671462799084,68.15384615384616
1181581,PRU,2014-05-05,5.9586286164321045,0.5946057101494687,40.30769230769232
1181701,PRU,2014-09-02,7.354278153109564,1.014910317821389,94.5
1181945,PRU,2015-05-04,5.094422354189914,1.3076064439335344,334.9411764705883
1182072,PRU,2015-09-08,4.751065290621577,2.048424395801495,115.58823529411764
1182309,PRU,2016-05-02,5.1835824946686335,1.8661399790551016,176.82352941176467
1182436,PRU,2016-09-06,5.9722454440615325,1.827099220485308,134.78571428571428
1182680,PRU,2017-05-08,4.984018035047803,1.496343376303219,96.0
1182800,PRU,2017-09-05,4.911745657566597,2.1565841803072603,120.625
1183037,PRU,2018-04-30,4.713878154211028,2.202435510271825,95.29411764705885
1367102,TEL,2013-11-19,-3.8158168260423286,2.1797922931269773,31.75
934572,MCD,2015-12-01,-3.8804753755244303,2.754138191055917,450.29411764705884
934600,MCD,2015-12-29,-4.855088958204963,2.7080612024179858,323.4117647058824
934601,MCD,2015-12-30,-4.5258137918026,2.271541890157232,462.8235294117647
934609,MCD,2016-01-07,-4.184535996897592,4.17484619397236,182.35294117647058
934807,MCD,2016-07-23,-5.72287140233404,2.574280895565376,869.1176470588235
934808,MCD,2016-07-24,-4.533226194299536,2.9373911053718285,315.9411764705883
934974,MCD,2017-01-06,-4.2044094613848015,3.638341337998228,281.1764705882353
934975,MCD,2017-01-07,-5.51698065217099,4.2686672031774515,129.05882352941177
935206,MCD,2017-08-26,-4.929637927291132,2.5685820518362124,287.1764705882353
935207,MCD,2017-08-27,-4.1293245883521035,2.4045532095694595,190.52941176470588
935611,MCD,2018-10-05,-4.159886249374999,3.1445653502490813,340.5882352941176
935612,MCD,2018-10-06,-4.113484658469819,2.829913177751745,208.7647058823529
935717,MCD,2019-01-19,-4.8597345751050325,3.0155343949566698,239.5
136859,APC,2013-09-20,-5.443312582472352,1.4771186559006235,159.8
136860,APC,2013-09-21,-5.193996356462242,0.874794675808178,123.42857142857143
136868,APC,2013-09-29,-6.585806624342109,1.4425744340620927,42.0
136869,APC,2013-09-30,-5.451479719596641,2.0427307273421227,60.86666666666667
137346,APC,2015-01-20,-5.190501435902148,2.1242087072776545,58.46666666666667
138295,APC,2017-08-26,-5.467817292942642,0.9966969216551282,239.7647058823529
138296,APC,2017-08-27,-5.141716378026119,0.8063885695457331,45.82352941176471
138584,APC,2018-06-11,-5.5152934268314056,2.143154617268281,59.84615384615386
353869,COF,2014-09-29,-3.8915444227814135,1.6418478136623833,34.875
355664,COF,2019-08-29,-3.563355446812316,2.9572417726324893,51.11764705882353
398041,CTXS,2015-08-24,-4.380084253100692,0.988285374962196,51.66666666666666
2675,AAL,2013-07-06,-5.018007156892723,2.143938950621004,78.8
2920,AAL,2014-03-08,-5.530673052036317,2.6228241326597463,65.64285714285714
2921,AAL,2014-03-09,-6.08904140905436,2.5927117171759813,43.92857142857143
3122,AAL,2014-09-26,-4.973661443542592,1.9642787129549184,74.0
3271,AAL,2015-02-22,2.4144050825230092,2.335709204034813,30.823529411764717
3665,AAL,2016-03-22,-4.684055217894655,2.550784325088729,652.5294117647059
4186,AAL,2017-08-25,-4.854490330246327,1.951710442020003,201.82352941176467
4187,AAL,2017-08-26,-5.0001178505775306,0.9243218539822792,202.11764705882354
4533,AAL,2018-08-07,-4.715543451944441,1.7717391077975353,449.0
4928,AAL,2019-09-06,-4.778983811187186,2.3513175090960026,200.64705882352942
1109103,ORCL,2013-08-12,-4.508336877311388,1.3256413515570702,32.9
1111391,ORCL,2019-11-17,-3.5144760772621715,1.7886398478553156,31.764705882352942
1111392,ORCL,2019-11-18,-3.576137801295815,3.0622291958502053,41.6875
977366,MLM,2020-02-08,-3.90985882388579,1.409309873436118,37.785714285714285
977367,MLM,2020-02-09,-4.263229770077611,0.9473619380052803,32.642857142857146
1575777,XOM,2013-04-09,-4.056499483572325,1.5651421049253575,43.8125
1575811,XOM,2013-05-13,1.0237298975721627,1.190235571640283,43.53333333333333
1575870,XOM,2013-07-11,-3.838849024925092,2.698476145171252,46.235294117647065
1576196,XOM,2014-06-02,1.1720830086479843,1.7024331843273013,41.411764705882355
1576197,XOM,2014-06-03,1.0472710020198606,1.7149684637051843,51.647058823529406
1576241,XOM,2014-07-17,-4.547670403270276,1.2223411222453664,86.0
1576431,XOM,2015-01-23,-3.7790106476652228,1.5917201168357764,67.41176470588235
1576659,XOM,2015-09-08,-3.8948111975372455,2.2058478298208355,194.64705882352942
1576660,XOM,2015-09-09,-4.1077087855877785,2.3889590631566056,102.70588235294115
1576912,XOM,2016-05-18,-3.8594765566711877,3.1499175003922786,89.64705882352942
1576933,XOM,2016-06-08,-3.820506672907941,3.107696299031833,92.47058823529413
1577377,XOM,2017-08-26,-4.8862560179209344,1.5560973416134498,255.64705882352942
1577378,XOM,2017-08-27,-4.14616198027617,1.9333743439707751,95.47058823529413
1577587,XOM,2018-03-24,-3.872395412864222,3.5009392858696704,50.529411764705884
1577652,XOM,2018-05-28,-4.249414357434274,2.4565535576161417,56.05882352941178
1577721,XOM,2018-08-05,-4.218210854651328,1.2472002123349597,157.47058823529414
1577755,XOM,2018-09-08,-4.544150478434267,2.6259221350604034,48.411764705882355
1578303,XOM,2020-03-09,-3.8028403713737786,1.7810773981195231,200.64705882352942
